model,features,n_classes,macro_f1_mean,macro_f1_sd,balanced_accuracy
logistic_regression,step1_pd_vs_normal/acoustic_only,2,0.9493617952928298,0.036231685682426705,0.9489010989010989
random_forest,step1_pd_vs_normal/acoustic_only,2,0.9352808723843207,0.061394827409653185,0.9351648351648352
linear_discriminant,step1_pd_vs_normal/acoustic_only,2,0.934658091589126,0.02666022919142213,0.9340659340659341
svm_rbf,step1_pd_vs_normal/acoustic_only,2,0.9203541324575808,0.05223919539453097,0.9197802197802198
gradient_boosting,step1_pd_vs_normal/acoustic_only,2,0.9131049078635286,0.03664010049070704,0.9131868131868132
random_forest,step1_pd_vs_normal/combined,2,1.0,0.0,1.0
svm_rbf,step1_pd_vs_normal/combined,2,1.0,0.0,1.0
gradient_boosting,step1_pd_vs_normal/combined,2,1.0,0.0,1.0
linear_discriminant,step1_pd_vs_normal/combined,2,0.9782477650063857,0.017768861991198964,0.9780219780219781
logistic_regression,step1_pd_vs_normal/combined,2,0.9779514687100894,0.018010676269334627,0.9774725274725276
random_forest,step1_pd_vs_normal/perceptual_only,2,1.0,0.0,1.0
gradient_boosting,step1_pd_vs_normal/perceptual_only,2,1.0,0.0,1.0
svm_rbf,step1_pd_vs_normal/perceptual_only,2,0.9928480204342274,0.014303959131545339,0.9928571428571429
logistic_regression,step1_pd_vs_normal/perceptual_only,2,0.8607970190728812,0.09313609788128319,0.8615384615384615
linear_discriminant,step1_pd_vs_normal/perceptual_only,2,0.8533135283947297,0.07973977423849081,0.8543956043956044
svm_rbf,step2_subtype/acoustic_only,3,0.5972292086997969,0.20593127286779253,0.6444444444444445
linear_discriminant,step2_subtype/acoustic_only,3,0.5089454405243878,0.09585249807415587,0.6361111111111112
random_forest,step2_subtype/acoustic_only,3,0.5067009025832555,0.10749544063532412,0.5435185185185184
logistic_regression,step2_subtype/acoustic_only,3,0.50098451256346,0.1018953701680396,0.5703703703703704
gradient_boosting,step2_subtype/acoustic_only,3,0.4429665667436565,0.1994924033754349,0.47777777777777775
random_forest,step2_subtype/combined,3,0.9199999999999999,0.16,0.9333333333333332
svm_rbf,step2_subtype/combined,3,0.9199999999999999,0.16,0.9333333333333332
gradient_boosting,step2_subtype/combined,3,0.9128933444722918,0.14386282949102,0.9166666666666666
logistic_regression,step2_subtype/combined,3,0.8058128908128908,0.13402334475875205,0.8342592592592591
linear_discriminant,step2_subtype/combined,3,0.751050986050986,0.12579542311689254,0.8009259259259259
gradient_boosting,step2_subtype/perceptual_only,3,0.9259259259259259,0.14814814814814814,0.9333333333333332
random_forest,step2_subtype/perceptual_only,3,0.9199999999999999,0.16,0.9333333333333332
svm_rbf,step2_subtype/perceptual_only,3,0.8823051091781743,0.1754092091502593,0.8916666666666666
logistic_regression,step2_subtype/perceptual_only,3,0.7815546218487395,0.09594511824839262,0.8425925925925926
linear_discriminant,step2_subtype/perceptual_only,3,0.7471957671957672,0.09190566810298516,0.7925925925925925
